timestamp,open,high,low,close,volume
2022-06-10,2198.0000,2214.0000,2171.0000,2201.1500,54799
2022-06-09,2167.0000,2223.8000,2160.5000,2218.2000,30376
2022-06-08,2248.0000,2248.0000,2159.4500,2176.4500,38934
2022-06-07,2228.0000,2254.4000,2208.0000,2226.5500,68183
2022-06-06,2198.0000,2230.0000,2168.8500,2224.1000,37405
2022-06-03,2237.9000,2241.9000,2175.6500,2189.2500,80631
2022-06-02,2148.0000,2216.1000,2143.0000,2209.8500,58237
2022-06-01,2169.0000,2189.1000,2126.0000,2150.8000,82516
2022-05-31,2167.0000,2225.9500,2150.6000,2167.7500,136230
2022-05-30,2110.0000,2174.3000,2106.9500,2165.6500,48646
2022-05-27,2090.0000,2091.4000,2047.9500,2080.1000,66428
2022-05-26,2070.0000,2087.9000,1906.0500,2047.7000,163328
2022-05-25,2172.0000,2178.0000,2067.4000,2075.1000,59767
2022-05-24,2170.0000,2178.0000,2143.5000,2160.4000,26880
2022-05-23,2227.0000,2245.3500,2158.0000,2168.9500,64383
2022-05-20,2159.0000,2232.5500,2150.2000,2223.3000,45301
2022-05-19,2150.0000,2154.0000,2075.0000,2114.0000,44445
2022-05-18,2204.9000,2216.5500,2173.0000,2179.4000,61182
2022-05-17,2135.0000,2192.0000,2120.0000,2184.5000,47059
2022-05-16,2099.0000,2150.0000,2058.1000,2107.0500,115726
2022-05-13,2084.7500,2133.4500,2035.8500,2055.0500,63221
2022-05-12,2102.2000,2112.0000,2012.1000,2042.6000,94962
2022-05-11,2102.0000,2157.0500,2076.8000,2119.6500,78396
2022-05-10,2190.0000,2220.0500,2097.0000,2110.4500,85284
2022-05-09,2238.0000,2243.5500,2180.5500,2197.9500,82408
2022-05-06,2210.0000,2262.6000,2199.0500,2246.5500,57114
2022-05-05,2280.0000,2303.9000,2236.1000,2256.7500,262742
2022-05-04,2354.4500,2363.9500,2233.6500,2248.0500,422665
2022-05-02,2313.3500,2361.4000,2310.4500,2339.3000,96469
2022-04-29,2389.0000,2394.0000,2301.9000,2333.1000,174534
2022-04-28,2352.0000,2389.7500,2336.6500,2378.9000,101337
2022-04-27,2405.0000,2420.0000,2326.0000,2334.6000,166481
2022-04-26,2303.9000,2419.7000,2294.8500,2397.0000,253308
2022-04-25,2260.0000,2298.4500,2241.5500,2287.2000,198249
2022-04-22,2300.0000,2305.6500,2265.0000,2274.1000,143136
2022-04-21,2203.2000,2292.9000,2203.2000,2286.5500,77981
2022-04-20,2188.0000,2207.0000,2162.1500,2183.9500,71714
2022-04-19,2249.7000,2255.0000,2141.3500,2170.6500,98613
2022-04-18,2185.9000,2239.9000,2157.0000,2232.9500,50628
2022-04-13,2213.0000,2216.1500,2174.2500,2198.8000,82788
2022-04-12,2192.0000,2219.0500,2156.0000,2198.2500,99908
2022-04-11,2294.0000,2294.0000,2159.8000,2178.6500,95951
2022-04-08,2109.6000,2175.9500,2105.9000,2170.7000,93236
2022-04-07,2169.0000,2215.0000,2081.8000,2098.6000,241709
2022-04-06,2157.0000,2182.7500,2125.6000,2160.0000,155028
2022-04-05,2071.0000,2198.0000,2067.8500,2141.8500,260943
2022-04-04,2058.0000,2076.0000,2032.1500,2065.6000,138444
2022-04-01,2016.0000,2048.7000,2014.0000,2044.2500,96586
2022-03-31,2014.9000,2042.2000,1990.0000,2015.7000,100515
2022-03-30,1930.0000,2014.2000,1918.0000,1993.9500,207395
2022-03-29,1923.8000,1930.0000,1886.0500,1915.8500,106848
2022-03-28,1875.0000,1924.0000,1850.6000,1908.5500,1325278
2022-03-25,1851.6500,1899.0000,1822.2000,1869.6000,325855
2022-03-24,1812.0000,1838.8500,1800.0000,1832.6500,44456
2022-03-23,1844.5000,1849.7000,1801.3500,1812.1000,47853
2022-03-22,1792.0000,1836.7500,1790.5500,1831.3500,58525
2022-03-21,1842.0000,1842.0000,1797.0000,1803.0000,37645
2022-03-17,1771.0000,1823.0000,1759.3000,1818.5500,62959
2022-03-16,1718.1000,1763.8000,1718.1000,1757.4500,69918
2022-03-15,1730.2000,1753.4000,1688.7000,1702.4500,42080
2022-03-14,1735.9500,1752.0000,1722.6500,1735.9500,29188
2022-03-11,1749.9500,1756.5500,1722.0000,1733.6000,51931
2022-03-10,1689.0000,1749.9500,1679.7500,1742.4500,77916
2022-03-09,1605.1000,1669.0000,1605.1000,1656.4500,51461
2022-03-08,1571.5000,1606.7000,1553.4000,1600.7500,117808
2022-03-07,1577.0000,1591.4000,1539.8000,1564.7500,190289
2022-03-04,1625.0000,1654.4000,1601.3000,1615.9000,85917
2022-03-03,1665.0000,1677.8500,1635.6000,1644.3500,100682
2022-03-02,1644.0000,1663.9500,1620.0000,1640.8500,43416
2022-02-28,1609.9500,1650.6000,1594.5000,1643.2500,68523
2022-02-25,1600.0000,1638.3000,1585.3000,1618.0000,93470
